[Header]
TITLE,MPMS RSO Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1773240317.631000 3/11/2026, 3:45:17 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, SSN095
INFO, WEIGHT, 0.000
INFO, AREA, 0.000
INFO, LENGTH, 0.000
INFO, SHAPE, 0
INFO, COMMENT, IP
INFO, SEQUENCE FILE: Seq_SSN095_300K_IP.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,10,11,19,20,21,22,23,35
FIELDGROUP,Transverse,1,2,3,4,12,13,14,15,16,17,18,24,25,26,27,28,35

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1773240317.630,,1.000000e+004,2.999865e+002,3.916664e-005,0.000000e+000,-1.681352e-001,0.000000e+000,3,2.803209e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,8.605957e-003,0,,0,
1773240426.787,,9.500000e+003,2.999952e+002,4.362096e-005,0.000000e+000,-1.331217e-001,0.000000e+000,3,3.539858e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,8.697510e-003,0,,0,
1773240545.719,,9.000000e+003,3.000082e+002,4.395919e-005,0.000000e+000,-5.876894e-002,0.000000e+000,3,9.255492e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,0.000000e+000,0,,0,
1773240649.661,,8.500000e+003,3.000082e+002,4.871566e-005,0.000000e+000,-4.870649e-002,0.000000e+000,3,9.334663e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,0.000000e+000,0,,0,
1773240753.959,,8.000000e+003,3.000082e+002,5.361803e-005,0.000000e+000,-4.129679e-002,0.000000e+000,3,9.409990e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,0.000000e+000,0,,0,
1773240858.371,,7.500000e+003,2.999952e+002,5.857676e-005,0.000000e+000,-3.372073e-002,0.000000e+000,3,9.449906e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,8.697510e-003,0,,0,
1773240967.219,,7.000000e+003,2.999995e+002,6.318875e-005,0.000000e+000,-2.837252e-002,0.000000e+000,3,9.499909e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,0.000000e+000,0,,0,
1773241075.721,,6.500000e+003,3.000082e+002,6.813693e-005,0.000000e+000,-2.369430e-002,0.000000e+000,3,9.535358e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,0.000000e+000,0,,0,
1773241185.039,,6.000000e+003,3.000038e+002,7.281890e-005,0.000000e+000,-1.934120e-002,0.000000e+000,3,9.575270e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,8.697510e-003,0,,0,
1773241294.030,,5.500000e+003,3.000082e+002,7.768456e-005,0.000000e+000,-1.557010e-002,0.000000e+000,3,9.598868e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,0.000000e+000,0,,0,
1773241411.768,,5.000000e+003,3.000082e+002,8.252654e-005,0.000000e+000,-1.173261e-002,0.000000e+000,3,9.613156e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,0.000000e+000,0,,0,
1773241528.781,,4.500000e+003,2.999995e+002,8.721379e-005,0.000000e+000,-9.323664e-003,0.000000e+000,3,9.646337e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,0.000000e+000,0,,0,
1773241641.651,,4.000000e+003,2.999995e+002,9.239258e-005,0.000000e+000,-5.887985e-003,0.000000e+000,3,9.639181e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,0.000000e+000,0,,0,
1773241759.218,,3.500000e+003,2.999952e+002,9.681428e-005,0.000000e+000,-4.423849e-003,0.000000e+000,3,9.674976e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,8.697510e-003,0,,0,
1773241872.251,,3.000000e+003,3.000082e+002,1.016492e-004,0.000000e+000,-2.146939e-003,0.000000e+000,3,9.688647e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,0.000000e+000,0,,0,
1773241989.441,,2.500000e+003,3.000082e+002,1.064407e-004,0.000000e+000,-3.981469e-004,0.000000e+000,3,9.690958e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,0.000000e+000,0,,0,
1773242111.417,,2.000000e+003,3.000038e+002,1.112033e-004,0.000000e+000,1.599369e-003,0.000000e+000,3,9.717048e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,8.697510e-003,0,,0,
1773242232.736,,1.500000e+003,2.999995e+002,1.162003e-004,0.000000e+000,4.022529e-003,0.000000e+000,3,9.688718e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,0.000000e+000,0,,0,
1773242344.460,,1.000000e+003,3.000038e+002,1.210707e-004,0.000000e+000,5.468790e-003,0.000000e+000,3,9.703486e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,8.697510e-003,0,,0,
1773242461.840,,5.000000e+002,3.000038e+002,1.255328e-004,0.000000e+000,6.492937e-003,0.000000e+000,3,9.703962e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,8.697510e-003,0,,0,
1773242583.144,,0.000000e+000,3.000082e+002,2.463974e-005,0.000000e+000,-1.951180e-001,0.000000e+000,3,8.858015e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,0.000000e+000,0,,0,
1773242703.885,,-5.000000e+002,3.000038e+002,-1.263955e-004,0.000000e+000,1.729200e-003,0.000000e+000,3,9.727907e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,8.697510e-003,0,,0,
1773242816.564,,-1.000000e+003,2.999995e+002,-1.219088e-004,0.000000e+000,3.612105e-004,0.000000e+000,3,9.754873e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,0.000000e+000,0,,0,
