[Header]
TITLE,MPMS RSO Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1773310670.907000 3/12/2026, 11:17:50 AM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, SSN101
INFO, WEIGHT, 0.000
INFO, AREA, 0.000
INFO, LENGTH, 0.000
INFO, SHAPE, 0
INFO, COMMENT, IP
INFO, SEQUENCE FILE: Seq_SSN101_300K_IP.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,10,11,19,20,21,22,23,35
FIELDGROUP,Transverse,1,2,3,4,12,13,14,15,16,17,18,24,25,26,27,28,35

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1773310670.907,,1.000000e+004,3.000212e+002,4.544554e-005,0.000000e+000,1.360452e-001,0.000000e+000,3,8.504224e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,8.789063e-003,0,,0,
1773310775.645,,9.500000e+003,3.000168e+002,4.920879e-005,0.000000e+000,1.176924e-001,0.000000e+000,3,8.748176e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,0.000000e+000,0,,0,
1773310884.385,,9.000000e+003,3.000386e+002,5.339102e-005,0.000000e+000,1.040296e-001,0.000000e+000,3,8.861355e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,8.697510e-003,0,,0,
1773310993.177,,8.500000e+003,3.000342e+002,5.859025e-005,0.000000e+000,9.302186e-002,0.000000e+000,3,8.829088e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,0.000000e+000,0,,0,
1773311097.142,,8.000000e+003,3.000299e+002,6.247653e-005,0.000000e+000,8.308560e-002,0.000000e+000,3,8.945161e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,8.605957e-003,0,,0,
1773311201.554,,7.500000e+003,3.000212e+002,6.649053e-005,0.000000e+000,7.395676e-002,0.000000e+000,3,9.046239e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,8.789063e-003,0,,0,
1773311306.564,,7.000000e+003,3.000168e+002,7.123972e-005,0.000000e+000,6.608581e-002,0.000000e+000,3,9.073064e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,0.000000e+000,0,,0,
1773311416.074,,6.500000e+003,3.000168e+002,7.505246e-005,0.000000e+000,5.796392e-002,0.000000e+000,3,9.192454e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,0.000000e+000,0,,0,
1773311525.359,,6.000000e+003,3.000168e+002,8.009133e-005,0.000000e+000,5.223831e-002,0.000000e+000,3,9.187220e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,0.000000e+000,0,,0,
1773311633.445,,5.500000e+003,3.000125e+002,8.453993e-005,0.000000e+000,4.657267e-002,0.000000e+000,3,9.232325e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,8.605957e-003,0,,0,
